Age,Occupation,Gender,How do you segregate your waste?,Do you know anything about E-waste,"How often do you dispose of electronic devices (e.g., phones, computers, appliances)?",What method do you primarily use to dispose of your e-waste?,How aware are you of the environmental impact of improper e-waste disposal?,Do you know about local e-waste recycling facilities in your area?,What motivates you to recycle your e-waste? (Select the most important reason),What is the primary barrier to proper e-waste disposal for you?,How satisfied are you with the e-waste management services in your area?,How likely are you to participate in an e-waste recycling program if it was convenient and free?,How important is it for you that your e-waste is disposed of responsibly?,Would you be willing to pay a small fee for the proper disposal and recycling of your e-waste?,Any other thoughts on E-waste
25-34,Self-employed/Entrepreneur,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Dissatisfied,Likely,Important,Not sure,
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Once a year,Donating to charity or second-hand stores,Unaware,"No, but I would use them if I knew more",Getting rid of waste,No perceived need to recycle,Neutral,Very likely,Important,Yes,
25-34,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",More than twice a year,Donating to charity or second-hand stores,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
35-44,Self-employed/Entrepreneur,Female,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Once a year,Donating to charity or second-hand stores,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of local facilities,Neutral,Likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"Yes, but I rarely use them",Environmental concerns,Lack of local facilities,Neutral,Neutral,Very important,"Maybe, depends on the fee",Should be handled properly and recycling should be done along with spreading awareness.
35-44,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Neutral,"No, and I’m not interested",Getting rid of waste,Lack of information on how to dispose,Neutral,Neutral,Important,"Maybe, depends on the fee",
45-54,Unemployed/Retired,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Once a year,Special e-waste collection programs,Somewhat aware,"Yes, but I rarely use them",Environmental concerns,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
45-54,Home-Maker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Special e-waste collection programs,Very aware,"Yes, and I use them regularly",Environmental concerns,Inconvenience of disposal options,Satisfied,Likely,Very important,Not sure,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"Yes, but I rarely use them",Social responsibility,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Neutral,"Maybe, depends on the fee",
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Very likely,Very important,Yes,No
25-34,Unemployed/Retired,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Unlikely,Very important,Yes,It's important in any case 
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",No
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Satisfied,Likely,Important,"Maybe, depends on the fee","Personal data on E-waste could be recoverable, a cause for concern"
18-24,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Twice a year,Donating to charity or second-hand stores,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Very likely,Very important,Yes,
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",More than twice a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Lack of local facilities,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"Yes, but I rarely use them",Financial incentives,No perceived need to recycle,Dissatisfied,Neutral,Important,Not sure,
25-34,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Very likely,Very important,"Maybe, depends on the fee",It should indeed be disposed in a sustianable manner.
