STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,WASTE,Waste category,WST_OPER,Waste management operations,UNIT,Unit of measure,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE6,Total waste,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,15.832,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE6,Total waste,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,36.975,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE6,Total waste,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,10.937,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,8.097,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_TEE,Temperature exchange equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,3.877,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SME,Screens and monitors,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,3.021,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SME,Screens and monitors,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,2.112,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SME,Screens and monitors,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.541,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LMP,Lamps,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,0.3,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LMP,Lamps,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,0.186,,A,,,,,,,
